"country"	"R2"	"Adjusted_R2"	"Last_Pageviews"
"Maldives"	0.656393217294426	0.634917793375327	1163000
"Malawi"	0.0660626164013868	0.00769152992647348	801000
"Mexico"	0.215725387643517	0.166708224371237	335139000
"Malaysia"	0.80272611626014	0.790396498526398	74173000
"Mozambique"	0.325921802745551	0.283791915417148	3746000
"Namibia"	0.0068715415775959	-0.0551989870738043	1267000
"New Caledonia"	0.438883541610525	0.403813762961183	934000
"Niger"	0.0329872362049452	-0.0274510615322456	285000
"Nigeria"	0.000621647182480284	-0.0618394998686147	30130000
"Nicaragua"	0.136499715930838	0.0825309481765149	5599000
"Netherlands"	0.604091212029318	0.579346912781151	258394000
"Norway"	0.0271629638451486	-0.0336393509145296	76763000
"Nepal"	0.0738109500358562	0.0159241344130971	8147000
"New Zealand"	0.50991193069851	0.479281426367167	45959000
"Oman"	0.329482855256611	0.287575533710149	6169000
"Panama"	0.0224859533034346	-0.0386086746151006	13407000
"Peru"	0.284772347784943	0.240070619521502	62720000
"French Polynesia"	0.573221032079509	0.546547346584479	816000
"Papua New Guinea"	0.219633650541582	0.17086075370043	674000
"Philippines"	0.14557244752733	0.0921707254977883	110662000
"Pakistan"	0.548406290190802	0.520181683327727	50088000
"Poland"	0.0581691228234635	-0.000695307000069922	275056000
"Puerto Rico"	0.506228908678729	0.475368215471149	13187000
"Palestinian Territory"	0.625753030421674	0.602362594823029	3153000
"Portugal"	0.711377483031691	0.693338575721172	47186000
"Paraguay"	0.313139140676325	0.270210336968595	9899000
"Qatar"	0.842662504871504	0.832828911425973	8085000
"Reunion"	0.000704041076345653	-0.0617519563563826	4574000
"Romania"	0.0425493995474213	-0.0172912629808648	86708000
"Serbia"	0.579177546223117	0.552876142862062	33483000
"Russian Federation"	0.245384994393911	0.198221556543531	896643000
"Rwanda"	0.152192790554902	0.0992048399645835	1697000
"Saudi Arabia"	0.789840162785652	0.776705172959756	52698000
"Solomon Islands"	0.161205748602587	0.108781107890249	1e+05
"Seychelles"	0.560187889010924	0.532699632074107	759000
