"project"	"R2"	"Adjusted_R2"	"Last_Pageviews"
"it.wikiquote"	0.565725753806975	0.53858361341991	3286000
"nl.wikipedia"	0.50692652611892	0.476109434001352	154952000
"pl.wikipedia"	0.260664359084204	0.214455881526967	272036000
"als.wikipedia"	0.591435915765393	0.56590066050073	1454000
"br.wikipedia"	0.0107249234135197	-0.0511047688731352	998000
"de.wikibooks"	0.00336864902862244	-0.0589208104070886	3931000
"de.wikinews"	0.100918086869934	0.0447254672993049	2729000
"de.wikisource"	0.000214661171704648	-0.0622719225050639	1294000
"de.wiktionary"	0.18030129168546	0.129070122415801	8953000
"eu.wikipedia"	0.0014168223421627	-0.0609946262614522	2780000
"fi.wikipedia"	0.462816769205951	0.429242817281323	60639000
"fr.wiktionary"	0.110434539013172	0.0548366977014956	22979000
"hr.wikibooks"	0.252779263394069	0.206077967356199	150000
"hu.wikipedia"	0.341640688790135	0.300493231839518	41307000
"la.wikipedia"	0.0304878962712188	-0.0301066102118299	1753000
"pl.wiktionary"	0.0656669813627626	0.00727116769793523	5688000
"ro.wikipedia"	0.0209193953116878	-0.0402731424813316	27409000
"sk.wikipedia"	0.0162365260168089	-0.0452486911071406	14354000
"sl.wikipedia"	0.0628863504574148	0.00431674736100329	7673000
"da.wikipedia"	0.24419692999003	0.196959238114407	29285000
"el.wikipedia"	0.214548594635139	0.165457881799835	20950000
"en.wikinews"	0.526627680074012	0.497041910078638	1881000
"en.wikiversity"	0.0398774721840108	-0.0201301858044884	1742000
"fa.wikiquote"	0.00907905963865033	-0.052853499133934	194000
"he.wikipedia"	0.545746184266861	0.51735532078354	41123000
"id.wikipedia"	0.169478604753962	0.117571017551085	152842000
"ko.wikipedia"	0.223362921971649	0.174823104594877	78889000
"ko.wikisource"	0.0477746059017039	-0.0117394812294396	263000
"ku.wiktionary"	0.393721986551054	0.355829610710495	292000
"my.wikipedia"	0.197210980710198	0.147036667004585	531000
"sv.wikipedia"	0.0950529654839795	0.0384937758267283	103032000
"zh-yue.wikipedia"	0.0834388024403188	0.0261537275928387	2474000
"zh.wikisource"	0.507964075702342	0.477211830433738	1236000
"az.wikipedia"	0.00436563061543647	-0.0578615174710988	5181000
"az.wikiquote"	0.180011532200369	0.128762252962892	157000
"az.wikisource"	0.00929832618715706	-0.0526205284261456	73000
"nn.wikipedia"	0.0970489646637802	0.0406145249552665	3005000
"ast.wikipedia"	0.0994305353689513	0.0431449438295107	887000
"bs.wikiquote"	0.0505383027053024	-0.00880305337561604	166000
"hr.wikisource"	0.0971229280328533	0.0406931110349066	111000
"lt.wikipedia"	0.0319882945012921	-0.0285124370923771	9687000
"sh.wikipedia"	0.0110302204645689	-0.0507803907563957	6627000
"bn.wikipedia"	0.27353449020053	0.228130395838063	5556000
"bn.wikisource"	0.545288305426446	0.516868824515599	211000
"en.wikivoyage"	0.141471984907382	0.0878139839640939	1907000
"fr.wikibooks"	0.021493570506491	-0.0396630813368535	1709000
"fr.wikiquote"	0.269006131508249	0.223319014727515	674000
"fr.wikisource"	0.0332255406416181	-0.0271978630682808	4226000
"fr.wikiversity"	0.0318608460775356	-0.0286478510426185	963000
"ms.wikipedia"	0.272695117015658	0.227238561829137	8414000
"nl.wikibooks"	0.444460219303514	0.409738983009984	510000
"nl.wiktionary"	0.0987019957682582	0.0423708705037744	1674000
"oc.wikipedia"	0.00522556814344353	-0.0569478338475913	1186000
"species.wikimedia"	0.0641209113316998	0.00562846828993091	2144000
"wa.wikipedia"	0.00216724748291822	-0.0601972995493993	910000
"bg.wikiquote"	0.232879379330596	0.184934340538758	204000
"bg.wiktionary"	0.150461608913233	0.0973654594703104	573000
"it.wiktionary"	0.000784130364945869	-0.0616668614872451	3172000
"mk.wikipedia"	0.00744886744929473	-0.0545855783351243	2601000
"sv.wiktionary"	0.033346950352809	-0.0270688652501405	2156000
"eml.wikipedia"	0.130850319430629	0.0765284643950435	161000
"gl.wikipedia"	0.0816917927447514	0.0242975297912983	2938000
"ko.wiktionary"	0.0682380854635262	0.0100029658049966	1881000
"mzn.wikipedia"	0.00537476703436573	-0.0567893100259864	573000
"pt.wikiquote"	0.0120405289171646	-0.0497069380255126	684000
"pt.wikiversity"	0.109132625173042	0.0534534142463567	259000
"pt.wikivoyage"	0.30536917182437	0.261954745063393	142000
"simple.wiktionary"	0.00238361262573185	-0.0599674115851598	333000
"ta.wikipedia"	0.0260620504280389	-0.0348090714202087	3373000
"vec.wikipedia"	0.0393262716976835	-0.0207158363212112	546000
"zh.wiktionary"	0.0038966153970037	-0.0583598461406836	3463000
"be-x-old.wikipedia"	0.213506274468571	0.164350416622857	1299000
"be.wikipedia"	0.0575602722769554	-0.00134221070573481	2259000
"uk.wikipedia"	0.399729953856632	0.362213075972671	58020000
"bcl.wikipedia"	0.543041669807135	0.51448177417008	397000
"ceb.wikipedia"	0.0342586281654769	-0.0261002075741807	2403000
"cu.wikipedia"	0.011515762909925	-0.0502645019082046	69000
"es.wikinews"	0.111349014811094	0.0558083282367879	425000
"et.wikipedia"	0.0170235731071294	-0.044412453573675	5998000
"hif.wikipedia"	0.657134470873177	0.63570537530275	589000
"hu.wikinews"	0.252196439955879	0.205458717453121	25000
"ia.wikipedia"	0.0215498515630403	-0.0396032827142696	363000
"id.wikisource"	0.353316890674802	0.312899196341977	473000
"it.wikibooks"	0.0436998726323297	-0.0160688853281497	1136000
"it.wikinews"	0.179794043583264	0.128531171307218	285000
"ja.wiktionary"	0.0143405493333493	-0.0472631663333163	2106000
"pl.wikisource"	0.0123109821357783	-0.0494195814807354	980000
"ru.wikibooks"	0.00825293268028192	-0.0537312590272006	910000
"te.wikipedia"	0.169630737040855	0.117732658105909	1683000
"tt.wiktionary"	0.044380860875148	-0.0153453353201551	22000
"uz.wikipedia"	0.584680671356025	0.558723213315777	3868000
"yo.wikipedia"	0.0151139251129417	-0.0464414545674994	436000
"de.wikiquote"	0.0595915361222341	0.00081600712987373	898000
"de.wikivoyage"	0.0992431256171077	0.0429458209681769	2392000
"is.wikipedia"	0.0684101478144107	0.0101857820528114	1414000
"it.wikisource"	0.130624372321531	0.076288395591627	1216000
"ksh.wikipedia"	0.108428041922944	0.0527047945431283	820000
"lb.wikipedia"	0.0242597407184786	-0.0367240254866166	645000
"nap.wikipedia"	0.0250497903247871	-0.0358845977799136	240000
"sc.wikipedia"	0.443826893458758	0.40906607429993	214000
"ta.wikisource"	0.124959599523962	0.0702695744942098	77000
"af.wikipedia"	0.9068632919566	0.901042247703887	5678000
"arc.wikipedia"	0.00422406696895717	-0.058011928845483	157000
"az.wiktionary"	0.00728180996104366	-0.0547630769163912	56000
"bar.wikipedia"	0.0447314232414057	-0.0149728628060064	552000
"bat-smg.wikipedia"	0.000272079596236037	-0.0622109154289994	312000
"bi.wikipedia"	0.228492805225263	0.180273605551842	84000
"bo.wikipedia"	0.0668777133786479	0.00855757046481342	235000
"bug.wikipedia"	0.619749805248587	0.595984168076624	404000
"cdo.wikipedia"	0.42626422235452	0.390405736251677	794000
"co.wiktionary"	0.293499260111805	0.249342963868793	38000
"cs.wikibooks"	0.00243373292910185	-0.0599141587628294	88000
"cy.wikipedia"	0.0216253136756056	-0.0395231042196691	856000
"de.wikiversity"	0.553366890436208	0.525452321088471	321000
"diq.wikipedia"	0.0585698955838736	-0.000269485942134384	326000
"es.wikivoyage"	0.0443296517589222	-0.0153997450061452	207000
"ff.wikipedia"	0.00540470599863509	-0.0567574998764502	44000
"fy.wikipedia"	0.0729029697634315	0.014959405373646	710000
"gan.wikipedia"	0.330343126643744	0.288489572058978	333000
"gd.wikipedia"	0.247239438579647	0.200191903490875	732000
"gl.wiktionary"	0.000760349164736668	-0.0616921290124672	119000
"gn.wikipedia"	0.0707223973500699	0.0126425471844492	376000
