"country"	"Percentage_mobile"	"Total_pageviews"
"Puerto Rico"	0.424053992568439	13187000
"Palestinian Territory"	0.29337139232477	3153000
"Portugal"	0.217564531852668	47186000
"Palau"	0.269230769230769	26000
"Paraguay"	0.570259622184059	9899000
"Qatar"	0.434384662956092	8085000
"Reunion"	0.243550502842151	4574000
"Romania"	0.145026987129215	86708000
"Serbia"	0.2028193411582	33483000
"Russian Federation"	0.226957663194828	896643000
"Rwanda"	0.553329404832057	1697000
"Saudi Arabia"	0.548901286576341	52698000
"Solomon Islands"	0.52	100000
"Seychelles"	0.171277997364954	759000
"Sudan"	0.73173624288425	4216000
"Sweden"	0.348069330829206	151217000
"Singapore"	0.376464035166953	66426000
"Slovenia"	0.174394237066143	15270000
"Slovakia"	0.185802469135802	22680000
"Sierra Leone"	0.59792027729636	577000
"San Marino"	0.293023255813953	215000
"Senegal"	0.354160025502072	3137000
"Somalia"	0.38	400000
"Suriname"	0.467045454545455	880000
"Sao Tome and Principe"	0.270833333333333	48000
"El Salvador"	0.338246628131021	10380000
"Syrian Arab Republic"	0.637406483790524	2005000
"Swaziland"	0.469387755102041	245000
"Turks and Caicos Islands"	0.452380952380952	84000
"Togo"	0.300840336134454	595000
"Thailand"	0.391959798994975	78008000
"Tajikistan"	0.533427163969036	1421000
"Turkmenistan"	0.607866507747318	839000
"Tunisia"	0.241902990856966	12906000
"Tonga"	0.292682926829268	41000
"Turkey"	0.409872794142457	148185000
"Trinidad and Tobago"	0.353894736842105	4750000
"Taiwan"	0.240386500661732	163208000
"Tanzania, United Republic of"	0.678823529411765	5950000
"Ukraine"	0.173720346569474	250224000
"Uganda"	0.522717343818261	4578000
"United States"	0.376136953767864	3681768000
"Uruguay"	0.309626636946225	14356000
"Uzbekistan"	0.412537208895115	5711000
"Holy See (Vatican City State)"	0.043956043956044	91000
"Saint Vincent and the Grenadines"	0.270642201834862	218000
"Venezuela"	0.204199222034145	89207000
"Virgin Islands, British"	0.258823529411765	85000
"Virgin Islands, U.S."	0.380281690140845	355000
"Vietnam"	0.292628998837621	79148000
"Vanuatu"	0.229007633587786	131000
"Yemen"	0.548340548340548	2772000
"Mayotte"	0.310344827586207	348000
"South Africa"	0.548992077023368	49855000
"Zambia"	0.593973442288049	1958000
"Zimbabwe"	0.624141669678352	2767000
"Cook Islands"	0.272727272727273	33000
"Chad"	0.666666666666667	72000
"Eritrea"	0	21000
"Falkland Islands (Malvinas)"	0.434782608695652	23000
"Guinea-Bissau"	0.181818181818182	22000
