"type"	"N"
"desktop"	3
"mobile"	3
"mobile"	4
"desktop"	1
"mobile"	2
"desktop"	1
"mobile"	4
"mobile"	1
"desktop"	4
"desktop"	3
"desktop"	7
"desktop"	3
"desktop"	9
"mobile"	16
"mobile"	1
"desktop"	3
"desktop"	1
"mobile"	3
"desktop"	46
"desktop"	2
"desktop"	1
"desktop"	14
"desktop"	9
"desktop"	6
"desktop"	2
"desktop"	1
"mobile"	29
"mobile"	4
"desktop"	4
"desktop"	25
"mobile"	4
"mobile"	3
"mobile"	4
"desktop"	5
"desktop"	9
"desktop"	1
"desktop"	1
"mobile"	8
"mobile"	4
"desktop"	1
"mobile"	2
"desktop"	56
"mobile"	1
"desktop"	3
"desktop"	8
"mobile"	10
"desktop"	3
"mobile"	2
"desktop"	3
"desktop"	2
"mobile"	1
"mobile"	3
"desktop"	1
"desktop"	3
"mobile"	10
"mobile"	1
"mobile"	4
"desktop"	5
"desktop"	1
"mobile"	1
"desktop"	11
"mobile"	10
"mobile"	4
"desktop"	10
"desktop"	5
"desktop"	4
"desktop"	2
"mobile"	2
"desktop"	4
"desktop"	2
"desktop"	21
"mobile"	32
"desktop"	2
"desktop"	3
"desktop"	1
"desktop"	13
"mobile"	3
"desktop"	1
"mobile"	1
"mobile"	2
"desktop"	61
"desktop"	5
"mobile"	2
"mobile"	1
"mobile"	1
"mobile"	1
"mobile"	5
"desktop"	1
"desktop"	2
"desktop"	3
"desktop"	2
"mobile"	4
"mobile"	1
"desktop"	2
"mobile"	2
"mobile"	1
"desktop"	1
"mobile"	2
"desktop"	9
"mobile"	1
"mobile"	2
"mobile"	1
"mobile"	2
"desktop"	58
"mobile"	24
"desktop"	66
"desktop"	1
"desktop"	18
"mobile"	1
"mobile"	16
"desktop"	1
"desktop"	1
"mobile"	4
"mobile"	6
"desktop"	1
"desktop"	2
"mobile"	1
"mobile"	30
"desktop"	2
"mobile"	1
"mobile"	1
"desktop"	5
"mobile"	18
"desktop"	1
"mobile"	1
"desktop"	7
"desktop"	2
"desktop"	1
"desktop"	1
"mobile"	1
"desktop"	3
"mobile"	1
"desktop"	9
"desktop"	1
"mobile"	1
"mobile"	13
"mobile"	3
"desktop"	7
"desktop"	5
"desktop"	2
"mobile"	1
"mobile"	3
"desktop"	2
"mobile"	3
"desktop"	1
"mobile"	1
"desktop"	1
"mobile"	8
"mobile"	6
"desktop"	10
"desktop"	15
"desktop"	2
"mobile"	2
"desktop"	3
"mobile"	1
"desktop"	1
"desktop"	4
"desktop"	6
"mobile"	2
"desktop"	2
"desktop"	1
"desktop"	23
"mobile"	2
"mobile"	2
"desktop"	1
"mobile"	3
"desktop"	4
"desktop"	10
"mobile"	2
"mobile"	3
"desktop"	38
"desktop"	1
"mobile"	3
"mobile"	1
"desktop"	4
"mobile"	8
"desktop"	10
"desktop"	3
"desktop"	1
"mobile"	2
"mobile"	5
"mobile"	2
"mobile"	1
"desktop"	6
"mobile"	2
"desktop"	26
"desktop"	3
"mobile"	4
"desktop"	2
"mobile"	10
"mobile"	1
"desktop"	3
"mobile"	2
"mobile"	3
"mobile"	1
"desktop"	1
"mobile"	5
"desktop"	3
"desktop"	6
"mobile"	4
"desktop"	8
"mobile"	4
"mobile"	1
"desktop"	19
"desktop"	1
"mobile"	3
"mobile"	2
"desktop"	1
"mobile"	2
"mobile"	1
"mobile"	2
"desktop"	14
"desktop"	1
"desktop"	1
"desktop"	3
"desktop"	4
"mobile"	2
"desktop"	4
"mobile"	2
"mobile"	6
"desktop"	1
"mobile"	21
"desktop"	35
"mobile"	7
"desktop"	1
"desktop"	17
"desktop"	1
"desktop"	1
"desktop"	1
"desktop"	7
"desktop"	6
"mobile"	5
"desktop"	6
"desktop"	10
"mobile"	4
"desktop"	2
"mobile"	2
"desktop"	14
"desktop"	4
"desktop"	6
"desktop"	2
"mobile"	1
"mobile"	2
"mobile"	7
"desktop"	1
"desktop"	1
"mobile"	3
"mobile"	3
"desktop"	10
"desktop"	1
"mobile"	1
"desktop"	78
"desktop"	1
"mobile"	3
"desktop"	1
"mobile"	8
"desktop"	4
"desktop"	20
"desktop"	3
"desktop"	1
"mobile"	3
"mobile"	1
"mobile"	1
"desktop"	1
"mobile"	1
"desktop"	39
"mobile"	5
"mobile"	8
"desktop"	2
"mobile"	5
"desktop"	5
"desktop"	1
"mobile"	1
"mobile"	1
"desktop"	2
"mobile"	6
"mobile"	8
"desktop"	15
"desktop"	10
"mobile"	10
"mobile"	6
"desktop"	4
"desktop"	2
"mobile"	2
"desktop"	1
"desktop"	2
"mobile"	7
"desktop"	9
"mobile"	3
"desktop"	1
"desktop"	3
"desktop"	15
"mobile"	1
"desktop"	1
"desktop"	2
"desktop"	1
"desktop"	6
"mobile"	56
"desktop"	4
"desktop"	2
"mobile"	3
"mobile"	5
"desktop"	1
"mobile"	1
"desktop"	1
"mobile"	1
"desktop"	1
"desktop"	5
"desktop"	1
"mobile"	3
"desktop"	6
"desktop"	2
"desktop"	74
"desktop"	6
"desktop"	4
"desktop"	11
"mobile"	1
"mobile"	1
"desktop"	1
"desktop"	2
"mobile"	17
"mobile"	1
"mobile"	2
"desktop"	3
"mobile"	1
"mobile"	2
"mobile"	9
"desktop"	1
"desktop"	6
"mobile"	1
"desktop"	1
"mobile"	2
"mobile"	14
"desktop"	17
"desktop"	2
"mobile"	3
"mobile"	2
"desktop"	7
"desktop"	11
"desktop"	1
"mobile"	3
"desktop"	11
"mobile"	7
"desktop"	1
"mobile"	7
"mobile"	4
"mobile"	8
"mobile"	1
"mobile"	4
"desktop"	3
"desktop"	5
"mobile"	17
"desktop"	1
"mobile"	10
"desktop"	1
"desktop"	1
"desktop"	2
"mobile"	2
"mobile"	3
"mobile"	1
"mobile"	18
"mobile"	5
"mobile"	1
"mobile"	4
"desktop"	1
"mobile"	2
"desktop"	1
"desktop"	1
"desktop"	2
"mobile"	2
"desktop"	2
"desktop"	4
"desktop"	11
"desktop"	2
"desktop"	2
"desktop"	16
"mobile"	6
"desktop"	5
"desktop"	1
"desktop"	18
"desktop"	4
"mobile"	4
"desktop"	12
"desktop"	3
"desktop"	6
"desktop"	3
"mobile"	2
"desktop"	1
"mobile"	3
"mobile"	2
"desktop"	7
"desktop"	1
"desktop"	1
"desktop"	1
"desktop"	5
"mobile"	1
"mobile"	107
"mobile"	8
"mobile"	3
"mobile"	1
"desktop"	6
"mobile"	1
"desktop"	1
"mobile"	4
"mobile"	2
"desktop"	1
"desktop"	1
"desktop"	1
"mobile"	4
"mobile"	17
"mobile"	5
"desktop"	3
"mobile"	1
"mobile"	2
"mobile"	5
"mobile"	21
"desktop"	3
"desktop"	2
"desktop"	1
"desktop"	2
"mobile"	547
"desktop"	2
"mobile"	1
"desktop"	1
"mobile"	5
"desktop"	2
"desktop"	6
"mobile"	1
"desktop"	4
"mobile"	1
"desktop"	2
"desktop"	10
"mobile"	3
"desktop"	1
"mobile"	2
"mobile"	17
"mobile"	7
"mobile"	12
"desktop"	1
"desktop"	4
"desktop"	5
"desktop"	4
"desktop"	1
"mobile"	2
"desktop"	5
"desktop"	3
"desktop"	3
"desktop"	1
"mobile"	3
"mobile"	4
"desktop"	2
"mobile"	2
"desktop"	1
"mobile"	1
"desktop"	1
"desktop"	1
"mobile"	1
"mobile"	1
"desktop"	1
"desktop"	2
"mobile"	1
"mobile"	10
"mobile"	4
"desktop"	17
"desktop"	10
"desktop"	1
"mobile"	10
"desktop"	2
"desktop"	1
"mobile"	9
"mobile"	8
"desktop"	1
"desktop"	3
"desktop"	1
"desktop"	1
"mobile"	15
"desktop"	12
"desktop"	4
"mobile"	1
"mobile"	1
"mobile"	1
"desktop"	5
"desktop"	37
"mobile"	1
"mobile"	4
"mobile"	1
"mobile"	1
"desktop"	7
"desktop"	1
"mobile"	4
"mobile"	1
"mobile"	6
"mobile"	1
"mobile"	1
"desktop"	9
"desktop"	2
"mobile"	1
"mobile"	1
"desktop"	12
"mobile"	9
"desktop"	1
"mobile"	14
"mobile"	7
"mobile"	3
"mobile"	6
"mobile"	23
"desktop"	3
"desktop"	5
"desktop"	1
"desktop"	4
"desktop"	11
"desktop"	1
"mobile"	1
"desktop"	1
"mobile"	2
"desktop"	10
"mobile"	14
"mobile"	9
"desktop"	1
"desktop"	1
"mobile"	1
"desktop"	1
"desktop"	1
"mobile"	1
"mobile"	6
"mobile"	2
"mobile"	1
"mobile"	1
"desktop"	2
"desktop"	1
"desktop"	1
"desktop"	1
"mobile"	1
"desktop"	28
"desktop"	10
"desktop"	5
"mobile"	6
"mobile"	1
"desktop"	1
"mobile"	2
"mobile"	1
"desktop"	1
"desktop"	17
"mobile"	6
"mobile"	6
"mobile"	1
"desktop"	15
"mobile"	7
"mobile"	1
"desktop"	4
"desktop"	30
"desktop"	2
"desktop"	1
"mobile"	1
"desktop"	1
"mobile"	1
"desktop"	1
"mobile"	2
"mobile"	1
"desktop"	1
"mobile"	5
"mobile"	3
"desktop"	1
"desktop"	2
"desktop"	4
"mobile"	1
"mobile"	7
"desktop"	4
"mobile"	4
"desktop"	1
"mobile"	3
"desktop"	8
"desktop"	1
"mobile"	2
"mobile"	3
"mobile"	9
"desktop"	2
"mobile"	4
"desktop"	2
"desktop"	1
"desktop"	5
"mobile"	4
"desktop"	1
"mobile"	10
"mobile"	1
"desktop"	4
"mobile"	8
"mobile"	1
"mobile"	5
"mobile"	7
"mobile"	1
"desktop"	1
"desktop"	2
"mobile"	18
"mobile"	3
"mobile"	3
"mobile"	3
"desktop"	25
"mobile"	3
"desktop"	6
"desktop"	2
"desktop"	1
"mobile"	8
"desktop"	3
"desktop"	2
"desktop"	1
"mobile"	1
"desktop"	25
"mobile"	6
"desktop"	1
"mobile"	2
"desktop"	3
"mobile"	28
"mobile"	3
"mobile"	2
"desktop"	3
"mobile"	2
"desktop"	1
"desktop"	3
"mobile"	2
"desktop"	16
"desktop"	2
"desktop"	2
"desktop"	9
"desktop"	1
"desktop"	1
"desktop"	1
"mobile"	2
"desktop"	5
"desktop"	2
"mobile"	4
"mobile"	15
"desktop"	1
"desktop"	1
"desktop"	1
"mobile"	2
"mobile"	5
"desktop"	1
"mobile"	8
"desktop"	9
"mobile"	3
"mobile"	7
"desktop"	3
"mobile"	2
"mobile"	4
"mobile"	1
"mobile"	7
"mobile"	2
"desktop"	1
"mobile"	1
"desktop"	1
"mobile"	12
"desktop"	1
"desktop"	3
"mobile"	1
"mobile"	6
"desktop"	2
"mobile"	1
"mobile"	4
"desktop"	3
"desktop"	3
"desktop"	1
"mobile"	8
"mobile"	16
"desktop"	1
"desktop"	1
"desktop"	3
"mobile"	2
"mobile"	6
"desktop"	1
"desktop"	1
"mobile"	4
"mobile"	2
"mobile"	1
"desktop"	1
"mobile"	4
"mobile"	1
"mobile"	30
"desktop"	1
"mobile"	7
"desktop"	6
"desktop"	4
"mobile"	7
"desktop"	14
"mobile"	4
"desktop"	3
"mobile"	5
"mobile"	1
"mobile"	2
"mobile"	1
"desktop"	2
"mobile"	14
"mobile"	1
"mobile"	1
"desktop"	5
"desktop"	1
"desktop"	5
"desktop"	2
"mobile"	22
"desktop"	3
"desktop"	16
"desktop"	1
"desktop"	2
"desktop"	1
"mobile"	2
"mobile"	6
"desktop"	1
"mobile"	1
"desktop"	21
"mobile"	5
"desktop"	4
"desktop"	1
"desktop"	1
"mobile"	5
"desktop"	1
"desktop"	2
"mobile"	2
"mobile"	3
"desktop"	10
"mobile"	1
"desktop"	3
"mobile"	2
"desktop"	6
"desktop"	3
"desktop"	1
"desktop"	2
"desktop"	60
"mobile"	4
"mobile"	1
"desktop"	1
"mobile"	2
"desktop"	8
"desktop"	1
"mobile"	35
"mobile"	2
"desktop"	1
"desktop"	2
"desktop"	11
"mobile"	1
"desktop"	9
"mobile"	1
"mobile"	1
"desktop"	1
"mobile"	1
"mobile"	3
"mobile"	2
"desktop"	5
"mobile"	5
"mobile"	5
"desktop"	3
"desktop"	11
"desktop"	4
"desktop"	4
"desktop"	1
"mobile"	1
"desktop"	2
"mobile"	2
"mobile"	9
"mobile"	1
"desktop"	2
"mobile"	2
"desktop"	1
"mobile"	1
"mobile"	7
"desktop"	35
"mobile"	6
"desktop"	1
"mobile"	216
"desktop"	2
"desktop"	2
"mobile"	4
"desktop"	3
"mobile"	3
"desktop"	3
"mobile"	1
"desktop"	51
"desktop"	4
"desktop"	6
"desktop"	3
"desktop"	1
"desktop"	3
"mobile"	5
"desktop"	4
"desktop"	8
"mobile"	10
"desktop"	1
"mobile"	8
"desktop"	1
"mobile"	3
"desktop"	3
"mobile"	1
"desktop"	1
"desktop"	1
"desktop"	4
"mobile"	1
"desktop"	2
"desktop"	7
"mobile"	1
"mobile"	1
"desktop"	6
"desktop"	1
"desktop"	1
"desktop"	7
"mobile"	5
"desktop"	7
"desktop"	2
"mobile"	24
"desktop"	17
"desktop"	3
"mobile"	3
"mobile"	33
"desktop"	5
"desktop"	2
"desktop"	19
"mobile"	1
"desktop"	4
"mobile"	1
"mobile"	2
"mobile"	1
"mobile"	3
"mobile"	2
"mobile"	71
"desktop"	1
"desktop"	46
"mobile"	2
"mobile"	3
"mobile"	4
"desktop"	13
"desktop"	2
"desktop"	18
"desktop"	2
"desktop"	4
"mobile"	4
"mobile"	1
"desktop"	1
"desktop"	1
"mobile"	19
"desktop"	2
"desktop"	1
"desktop"	2
"desktop"	1
"desktop"	2
"mobile"	6
"mobile"	9
"mobile"	2
"desktop"	20
"mobile"	1
"mobile"	4
"desktop"	2
"mobile"	1
"mobile"	3
"mobile"	3
"desktop"	9
"desktop"	14
"mobile"	3
"desktop"	2
"mobile"	3
"mobile"	3
"desktop"	1
"mobile"	1
"desktop"	1
"desktop"	43
"desktop"	1
"mobile"	2
"desktop"	3
"mobile"	1
"desktop"	1
"desktop"	26
"desktop"	3
"desktop"	2
"mobile"	1
"desktop"	1
"desktop"	4
"desktop"	5
"mobile"	6
"mobile"	3
"desktop"	4
"mobile"	4
"desktop"	9
"mobile"	2
"mobile"	5
"desktop"	3
"desktop"	1
"desktop"	2
"desktop"	1
"mobile"	3
"mobile"	2
"desktop"	2
"mobile"	2
"desktop"	1
"desktop"	5
"desktop"	1
"desktop"	7
"desktop"	3
"desktop"	12
"desktop"	5
"mobile"	9
"desktop"	2
"desktop"	12
"desktop"	8
"desktop"	3
"mobile"	5
"mobile"	6
"desktop"	3
"desktop"	15
"mobile"	1
"mobile"	1
"desktop"	1
"desktop"	18
"mobile"	1
"desktop"	1
"desktop"	5
"mobile"	2
"desktop"	4
"mobile"	3
"mobile"	2
"mobile"	15
"mobile"	1
"mobile"	5
"desktop"	1
"desktop"	1
"mobile"	4
"mobile"	1
"desktop"	1
"desktop"	2
"mobile"	1
"mobile"	7
"desktop"	35
"mobile"	7
"desktop"	1
"desktop"	2
"desktop"	6
"desktop"	4
"desktop"	1
"desktop"	1
"desktop"	4
"desktop"	1
"mobile"	8
"desktop"	1
"mobile"	2
"mobile"	3
"mobile"	1
"mobile"	7
"desktop"	1
"mobile"	5
"desktop"	6
"mobile"	2
"mobile"	27
"mobile"	7
"mobile"	1
"desktop"	4
"desktop"	1
"desktop"	1
"desktop"	3
"desktop"	4
"desktop"	23
"desktop"	40
"desktop"	5
"mobile"	1
"desktop"	4
"desktop"	2
"desktop"	40
"desktop"	4
"mobile"	4
"mobile"	1
"desktop"	1
"desktop"	57
"mobile"	1
"desktop"	7
"desktop"	37
"desktop"	1
"desktop"	11
"desktop"	1
"desktop"	1
"mobile"	6
"mobile"	3
"mobile"	5
"mobile"	3
"mobile"	6
"desktop"	2
"desktop"	1
"mobile"	4
"desktop"	1
"mobile"	1
"mobile"	4
"mobile"	3
"mobile"	21
"mobile"	3
"desktop"	1
"mobile"	2
"desktop"	3
"mobile"	1
"mobile"	1
"desktop"	18
"mobile"	5
"mobile"	7
"mobile"	7
"mobile"	5
"mobile"	2
"mobile"	7
"desktop"	5
"mobile"	2
"desktop"	1
"desktop"	7
"mobile"	8
"desktop"	2
"desktop"	1
"desktop"	2
"mobile"	1
"desktop"	6
"desktop"	5
"mobile"	10
"desktop"	4
"mobile"	6
"desktop"	19
"desktop"	20
"desktop"	11
"desktop"	1
"desktop"	1
"desktop"	8
"mobile"	4
"mobile"	9
"desktop"	49
"mobile"	1
"desktop"	1
"desktop"	28
"desktop"	24
"desktop"	1
"mobile"	1
"desktop"	1
"mobile"	3
"mobile"	2
"mobile"	1
"mobile"	1
"desktop"	81
"desktop"	27
"desktop"	1
"desktop"	1
"mobile"	1
"mobile"	6
"desktop"	1
"desktop"	29
"mobile"	2
"mobile"	1
"desktop"	24
"mobile"	8
"desktop"	41
"desktop"	14
"desktop"	3
"desktop"	1
"desktop"	42
"mobile"	2
"mobile"	1
"desktop"	2
"desktop"	1
"mobile"	7
"mobile"	2
"mobile"	5
"desktop"	6
"desktop"	14
"desktop"	5
"desktop"	4
"desktop"	4
"desktop"	105
"desktop"	1
"desktop"	2
"mobile"	18
"mobile"	2
"desktop"	1
"mobile"	6
"desktop"	1
"desktop"	1
"desktop"	6
"mobile"	4
"desktop"	1
"mobile"	2
"mobile"	2
"desktop"	80
"mobile"	2
"desktop"	3
"desktop"	1
"desktop"	2
"mobile"	1
"desktop"	5
"desktop"	1
"mobile"	1
"mobile"	7
"mobile"	1
"mobile"	1
"mobile"	2
"mobile"	2
"desktop"	3
"desktop"	2
"mobile"	4
"desktop"	5
"desktop"	2
"desktop"	1
"mobile"	5
"mobile"	57
"desktop"	1
"mobile"	15
"mobile"	4
"mobile"	5
"desktop"	1
"desktop"	2
"mobile"	1
"desktop"	2
"desktop"	1
"desktop"	9
"mobile"	5
"mobile"	1
"mobile"	1
"desktop"	1
"desktop"	1
"mobile"	8
"desktop"	14
"desktop"	7
"desktop"	3
"desktop"	3
"mobile"	6
"desktop"	5
"desktop"	4
"desktop"	2
"mobile"	9
"desktop"	1
"desktop"	19
"mobile"	7
"desktop"	23
"desktop"	1
"mobile"	3
"desktop"	1
"desktop"	2
"desktop"	1
"desktop"	36
"desktop"	4
"desktop"	5
"mobile"	4
"desktop"	10
"desktop"	1
"mobile"	1
"desktop"	1
"mobile"	2
"desktop"	1
"desktop"	1
"mobile"	18
"desktop"	1
"desktop"	90
"desktop"	1
"desktop"	1
"desktop"	4
"desktop"	3
"desktop"	6
"desktop"	1
"desktop"	5
"mobile"	1
"desktop"	3
"mobile"	1
"mobile"	8
"desktop"	2
"desktop"	1
"desktop"	8
"mobile"	14
"desktop"	5
"desktop"	1
"desktop"	4
"mobile"	6
"desktop"	1
"mobile"	2
"mobile"	2
"desktop"	1
"mobile"	1
"desktop"	1
"desktop"	1
"mobile"	1
"mobile"	2
"desktop"	1
"mobile"	1
"desktop"	1
"mobile"	4
"desktop"	4
"desktop"	1
"desktop"	12
"mobile"	4
"mobile"	1
"desktop"	2
"mobile"	4
"desktop"	46
"desktop"	2
"mobile"	2
"mobile"	1
"mobile"	7
"mobile"	7
"mobile"	1
"mobile"	3
"desktop"	1
"mobile"	2
"mobile"	6
"desktop"	9
"desktop"	2
"desktop"	5
"mobile"	1
"desktop"	2
"desktop"	1
"mobile"	5
"mobile"	12
"mobile"	1
"mobile"	1
"mobile"	1
"desktop"	9
"mobile"	11
"desktop"	1
"desktop"	1
"desktop"	1
"mobile"	1
"desktop"	2
"mobile"	9
"desktop"	1
"mobile"	2
"desktop"	1
"desktop"	2
"mobile"	1
"mobile"	4
"mobile"	8
"desktop"	2
"mobile"	2
"mobile"	39
"desktop"	1
"desktop"	1
"mobile"	3
"mobile"	11
"desktop"	1
"mobile"	2
"mobile"	2
"mobile"	2
"desktop"	4
"desktop"	10
"mobile"	7
"desktop"	1
"mobile"	4
"mobile"	1
"desktop"	1
"desktop"	1
"desktop"	1
"desktop"	1
"desktop"	1
"mobile"	5
"desktop"	1
"mobile"	1
"desktop"	14
"desktop"	1
"desktop"	2
"desktop"	5
"desktop"	2
"desktop"	3
"mobile"	1
"mobile"	18
"mobile"	17
"mobile"	10
"desktop"	1
"mobile"	26
"desktop"	7
"desktop"	1
"desktop"	4
"desktop"	1
"desktop"	5
"mobile"	26
"mobile"	2
"mobile"	2
"desktop"	5
"mobile"	1
"desktop"	1
"mobile"	15
"mobile"	2
"desktop"	4
"desktop"	3
"desktop"	1
"mobile"	2
"desktop"	1
"desktop"	1
"mobile"	4
"desktop"	4
"desktop"	1
"mobile"	1
"desktop"	1
"mobile"	2
"mobile"	1
"desktop"	2
"mobile"	13
"mobile"	1
"desktop"	3
"mobile"	1
"mobile"	1
"mobile"	1
"desktop"	7
"mobile"	1
"mobile"	5
"mobile"	3
"desktop"	5
"desktop"	61
"desktop"	71
"desktop"	1
"desktop"	2
"mobile"	1
"desktop"	2
"desktop"	1
"mobile"	6
"mobile"	11
"mobile"	3
"desktop"	2
"mobile"	3
"mobile"	21
"mobile"	16
"desktop"	76
"desktop"	31
"mobile"	2
"mobile"	1
"desktop"	3
"desktop"	6
"desktop"	4
"desktop"	1
"desktop"	7
"mobile"	9
"desktop"	3
"mobile"	1
"desktop"	13
"desktop"	42
"desktop"	6
"mobile"	2
"desktop"	41
"mobile"	5
"desktop"	1
"mobile"	5
"desktop"	1
"mobile"	7
"desktop"	2
"desktop"	19
"mobile"	1
"desktop"	2
"mobile"	10
"desktop"	2
"desktop"	1
"desktop"	2
"mobile"	1
"desktop"	1
"desktop"	1
"mobile"	5
"desktop"	13
"desktop"	4
"desktop"	1
"mobile"	2
"mobile"	1
"desktop"	1
"desktop"	1
"mobile"	3
"desktop"	2
"desktop"	1
"desktop"	4
"desktop"	1
"desktop"	2
"desktop"	23
"mobile"	1
"desktop"	1
"desktop"	2
"desktop"	1
"mobile"	2
"mobile"	1
"mobile"	9
"desktop"	1
"desktop"	5
"desktop"	1
"desktop"	1
"desktop"	13
"desktop"	7
"desktop"	1
"desktop"	6
"mobile"	4
"desktop"	1
"desktop"	30
"mobile"	43
"desktop"	1
"desktop"	5
"desktop"	1
"desktop"	1
"desktop"	5
"mobile"	1
"desktop"	2
"desktop"	2
"mobile"	1
"mobile"	13
"desktop"	1
"desktop"	1
"desktop"	26
"desktop"	1
"mobile"	4
"mobile"	3
"mobile"	13
"desktop"	1
"mobile"	2
"desktop"	1
"desktop"	3
"desktop"	10
"mobile"	4
"desktop"	2
"desktop"	4
"desktop"	1
"desktop"	2
"desktop"	2
"desktop"	1
"mobile"	3
"desktop"	1
"mobile"	2
"mobile"	1
"desktop"	1
"desktop"	3
"desktop"	2
"desktop"	3
"desktop"	6
"desktop"	4
"mobile"	6
"mobile"	3
"desktop"	36
"desktop"	6
"desktop"	2
"desktop"	16
"desktop"	1
"desktop"	2
"mobile"	2
"mobile"	6
"desktop"	1
"desktop"	1
"desktop"	1
"mobile"	95
"desktop"	1
"desktop"	10
"desktop"	1
"mobile"	1
"mobile"	1
"desktop"	1
"mobile"	2
"desktop"	1
"desktop"	3
"mobile"	2
"desktop"	5
"mobile"	2
"desktop"	41
"desktop"	30
"desktop"	1
"desktop"	4
"desktop"	1
"desktop"	1
"desktop"	1
"mobile"	2
"desktop"	1
"mobile"	8
"mobile"	13
"mobile"	3
"desktop"	1
"desktop"	75
"desktop"	1
"mobile"	2
"desktop"	3
"mobile"	5
"desktop"	2
"desktop"	1
"desktop"	1
"desktop"	1
"mobile"	2
"mobile"	3
"desktop"	1
"desktop"	3
"mobile"	8
"desktop"	4
"desktop"	1
"desktop"	2
"desktop"	13
"mobile"	1
"mobile"	1
"mobile"	3
"desktop"	1
"mobile"	3
"desktop"	2
"mobile"	1
"desktop"	4
"desktop"	2
"desktop"	23
"mobile"	3
"desktop"	1
"desktop"	2
"desktop"	1
"mobile"	2
"desktop"	3
"mobile"	1
"desktop"	4
"desktop"	1
"mobile"	14
"desktop"	2
"mobile"	7
"mobile"	7
"mobile"	5
"desktop"	1
"mobile"	1
"mobile"	2
"mobile"	2
"mobile"	2
"mobile"	1
"desktop"	1
"mobile"	14
"desktop"	2
"desktop"	1
"desktop"	2
"desktop"	2
"desktop"	9
"mobile"	1
"mobile"	4
"mobile"	1
"desktop"	1
"desktop"	2
"desktop"	2
"desktop"	1
"mobile"	3
"desktop"	8
"desktop"	5
"desktop"	1
"desktop"	1
"desktop"	1
"mobile"	1
"desktop"	1
"desktop"	2
"mobile"	1
"mobile"	2
"desktop"	2
"desktop"	1
"desktop"	1
"mobile"	2
"mobile"	1
"mobile"	1
"desktop"	10
"mobile"	1
"mobile"	17
"desktop"	3
"mobile"	3
"mobile"	14
"desktop"	3
"mobile"	1
"mobile"	1
"mobile"	17
"desktop"	9
"desktop"	3
"mobile"	9
"desktop"	3
"desktop"	7
"desktop"	8
"desktop"	3
"mobile"	44
"desktop"	1
"desktop"	1
"desktop"	2
"desktop"	1
"mobile"	40
"desktop"	1
"mobile"	10
"desktop"	25
"desktop"	2
"mobile"	1
"desktop"	1
"desktop"	4
"mobile"	1
"desktop"	1
"desktop"	1
"mobile"	4
"mobile"	7
"desktop"	4
"mobile"	3
"desktop"	71
"desktop"	7
"mobile"	1
"mobile"	1
"desktop"	3
"mobile"	4
"mobile"	2
"mobile"	2
"mobile"	1
"desktop"	1
"desktop"	6
"desktop"	1
"desktop"	3
"desktop"	1
"desktop"	3
"mobile"	1
"mobile"	3
"desktop"	1
"desktop"	3
"desktop"	1
"desktop"	1
"mobile"	1
"desktop"	15
"mobile"	2
"desktop"	14
"mobile"	1
"desktop"	9
"desktop"	2
"mobile"	1
"mobile"	8
"desktop"	2
"desktop"	9
"desktop"	2
"mobile"	4
"desktop"	3
"desktop"	2
"desktop"	1
"desktop"	1
"mobile"	1
"desktop"	1
"desktop"	2
"desktop"	1
"mobile"	4
"mobile"	5
"desktop"	1
"desktop"	1
"mobile"	1
"desktop"	3
"mobile"	1
"mobile"	1
"desktop"	1
"mobile"	1
"desktop"	6
"desktop"	3
"mobile"	4
"desktop"	1
"mobile"	1
"desktop"	15
"desktop"	1
"desktop"	2
"mobile"	10
"mobile"	2
"desktop"	3
"desktop"	1
"desktop"	1
"mobile"	3
"mobile"	69
"desktop"	5
"desktop"	8
"mobile"	3
"desktop"	2
"mobile"	7
"mobile"	163
"desktop"	7
"desktop"	4
"desktop"	19
"desktop"	8
"desktop"	14
"mobile"	3
"desktop"	6
"mobile"	3
"desktop"	2
"desktop"	4
"desktop"	3
"desktop"	2
"mobile"	2
"desktop"	1
"mobile"	1
"desktop"	2
"mobile"	1
"mobile"	3
"mobile"	8
"mobile"	8
"mobile"	1
"desktop"	17
"mobile"	9
"desktop"	4
"mobile"	5
"desktop"	5
"desktop"	4
"desktop"	1
"desktop"	10
"desktop"	44
"desktop"	1
"mobile"	2
"mobile"	1
"desktop"	7
"desktop"	2
"mobile"	7
"mobile"	24
"desktop"	1
"mobile"	12
"mobile"	29
"desktop"	1
"desktop"	32
"mobile"	31
"desktop"	1
"mobile"	3
"desktop"	1
"desktop"	2
"mobile"	3
"desktop"	11
"mobile"	1
"desktop"	1
"mobile"	4
"mobile"	3
"desktop"	1
"mobile"	5
"desktop"	3
"desktop"	20
"desktop"	1
"desktop"	3
"desktop"	19
"mobile"	1
"mobile"	2
"mobile"	1
"mobile"	5
"desktop"	6
"mobile"	3
"desktop"	9
"desktop"	1
"desktop"	1
"desktop"	1
"mobile"	3
"mobile"	2
"desktop"	2
"mobile"	4
"desktop"	1
"desktop"	1
"desktop"	2
"mobile"	1
"mobile"	7
"desktop"	21
"mobile"	1
"mobile"	1
"desktop"	7
"desktop"	1
"desktop"	1
"mobile"	1
"mobile"	2
"mobile"	2
"mobile"	5
"mobile"	1
"mobile"	2
"mobile"	9
"desktop"	13
"mobile"	2
"desktop"	1
"desktop"	2
"mobile"	1
"desktop"	1
"desktop"	3
"mobile"	12
"desktop"	55
"desktop"	1
"desktop"	12
