"type"	"N"
"mobile"	3
"desktop"	1
"desktop"	57
"mobile"	27
"desktop"	14
"mobile"	7
"mobile"	3
"mobile"	4
"mobile"	11
"mobile"	1
"desktop"	5
"desktop"	7
"mobile"	6
"desktop"	20
"desktop"	37
"mobile"	2
"mobile"	1
"mobile"	26
"mobile"	1
"mobile"	19
"mobile"	1
"mobile"	16
"mobile"	4
"mobile"	30
"mobile"	1
"desktop"	3
"desktop"	33
"mobile"	2
"desktop"	1
"desktop"	839
"desktop"	12
"mobile"	5
"mobile"	3
"desktop"	1
"desktop"	3
"mobile"	63
"mobile"	88
"mobile"	23
"desktop"	2
"mobile"	9
"desktop"	4
"desktop"	5
"desktop"	5
"desktop"	1
"mobile"	535
"mobile"	40
"mobile"	9
"mobile"	2
"desktop"	20
"mobile"	342
"mobile"	13
"desktop"	17
"desktop"	1
"desktop"	1
"mobile"	1
"desktop"	1
"mobile"	18
"mobile"	27
"mobile"	7
"mobile"	1
"mobile"	3
"desktop"	5
"mobile"	3
"mobile"	101
"desktop"	115
"mobile"	17
"mobile"	1
"desktop"	414
"desktop"	2
"desktop"	14
"mobile"	1
"mobile"	1
"desktop"	3
"desktop"	2
"mobile"	16
"mobile"	81
"desktop"	7
"mobile"	22
"mobile"	1
"desktop"	24
"mobile"	7
"mobile"	1
"mobile"	1
"mobile"	128
"desktop"	45
"mobile"	39
"desktop"	8
"desktop"	12
"mobile"	6
"mobile"	9
"mobile"	18
"mobile"	11
"mobile"	4
"desktop"	1
"desktop"	26
"mobile"	24
"mobile"	27
"mobile"	3
"desktop"	1
"mobile"	5
"mobile"	7
"desktop"	1
"mobile"	61
"mobile"	33
"mobile"	3
"desktop"	9
"desktop"	9
"mobile"	2
"mobile"	4
"mobile"	18
"desktop"	1
"mobile"	3
"mobile"	6
"desktop"	9
"desktop"	3
"mobile"	53
"desktop"	6
"desktop"	29
"desktop"	7
"mobile"	1
"desktop"	25
"mobile"	22
"desktop"	1
"desktop"	12
"mobile"	1
"mobile"	2
"desktop"	14
"mobile"	53
"desktop"	31
"mobile"	9
"desktop"	54
"mobile"	37
"desktop"	24
"mobile"	19
"mobile"	30
"mobile"	3
"desktop"	1
"desktop"	1
"mobile"	5
"mobile"	3
"mobile"	11
"mobile"	5
"mobile"	1
"mobile"	10
"desktop"	43
"mobile"	8
"desktop"	3
"desktop"	1
"mobile"	2
"mobile"	5
"mobile"	1
"mobile"	12
"mobile"	2
"mobile"	8
"desktop"	1
"mobile"	6
"mobile"	3
"mobile"	40
"desktop"	5
"desktop"	123
"desktop"	2
"desktop"	30
"mobile"	1
"desktop"	2
"desktop"	3
"mobile"	4
"desktop"	5
"desktop"	41
"desktop"	3
"mobile"	32
"desktop"	75
"mobile"	1
"mobile"	5
"desktop"	21
"desktop"	1
"mobile"	73
"mobile"	3
"mobile"	3
"desktop"	30
"mobile"	1
"desktop"	16
"mobile"	23
"mobile"	3
"mobile"	7
"mobile"	13
"desktop"	50
"mobile"	22
"desktop"	1
"desktop"	2
"mobile"	59
"mobile"	2
"mobile"	18
"desktop"	7
"mobile"	76
